Date,News,What It Affects,Sentiment,Source
2025-01-01,Bulls celebrate new year with all-time high rally,Stock Market (Direct),Positive,https://www.dawn.com/news/1882419/bulls-celebrate-new-year-with-all-time-high-rally
2025-01-01,CPI inflation clocks in at 4.1pc for December 2024 — lowest in nearly 7 years,Stock Market (Direct); Inflation / CPI,Neutral,https://www.dawn.com/news/1882439/cpi-inflation-clocks-in-at-41pc-for-december-2024-lowest-in-nearly-7-years
2025-01-01,FBR falls Rs386bn short of revenue target,Inflation / CPI; Fiscal Policy / Budget / Taxes; Current Account / Trade,Neutral,https://www.dawn.com/news/1882374/fbr-falls-rs386bn-short-of-revenue-target
2025-01-01,"Govt, ADB sign $200m loan for power sector",IMF / External Financing; Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1882376/govt-adb-sign-200m-loan-for-power-sector
2025-01-01,"Iniquitous, inefficient tax system",Fiscal Policy / Budget / Taxes; Political Stability / Government,Neutral,https://www.dawn.com/news/1882450/iniquitous-inefficient-tax-system
2025-01-01,Stock market ends 2024 with historic 84pc gain,Stock Market (Direct),Negative,https://www.dawn.com/news/1882380/stock-market-ends-2024-with-historic-84pc-gain
2025-01-02,Concerns raised over gas sale deal without bidding,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1882544/concerns-raised-over-gas-sale-deal-without-bidding
2025-01-02,Exports post modest rise of 0.67pc in December,Current Account / Trade,Positive,https://www.dawn.com/news/1882546/exports-post-modest-rise-of-067pc-in-december
2025-01-02,Industry offers divergent views on economic performance in 2024,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1882547/industry-offers-divergent-views-on-economic-performance-in-2024
2025-01-02,Oil sales dip 19pc,Stock Market (Direct),Negative,https://www.dawn.com/news/1882541/oil-sales-dip-19pc
2025-01-02,Shares at PSX gain 100 points amid mixed economic indicators,Stock Market (Direct); Current Account / Trade,Positive,https://www.dawn.com/news/1882634/shares-at-psx-gain-100-points-amid-mixed-economic-indicators
2025-01-03,SBP reserves fall $371m in two weeks,Monetary Policy / Interest Rates,Negative,https://www.dawn.com/news/1882791/sbp-reserves-fall-371m-in-two-weeks
2025-01-03,Govt moves on efficient utilisation of energy,GDP / Economic Growth,Neutral,https://www.dawn.com/news/1882796/govt-moves-on-efficient-utilisation-of-energy
2025-01-03,Local cement sales fall 10.4pc in 1HFY25,Current Account / Trade; Cement Sector,Negative,https://www.dawn.com/news/1882790/local-cement-sales-fall-104pc-in-1hfy25
2025-01-04,Cotton production plunges over 33pc,Current Account / Trade; Textile Sector,Negative,https://www.dawn.com/news/1882981/cotton-production-plunges-over-33pc
2025-01-04,Export of services reaches $676m  in November,Current Account / Trade,Neutral,https://www.dawn.com/news/1882976/export-of-services-reaches-676m-in-november
2025-01-04,PSX manages record closing on select buying,Stock Market (Direct); Cement Sector,Neutral,https://www.dawn.com/news/1882980/psx-manages-record-closing-on-select-buying
2025-01-04,Weekly inflation eases slightly,Inflation / CPI,Positive,https://www.dawn.com/news/1882978/weekly-inflation-eases-slightly
2025-01-05,"Demand for costly dried fruit, nuts surges",Currency / Exchange Rate; Current Account / Trade,Neutral,https://www.dawn.com/news/1883219/demand-for-costly-dried-fruit-nuts-surges
2025-01-05,Pakistan to face double trouble if dollar is threatened,Currency / Exchange Rate,Negative,https://www.dawn.com/news/1883218
2025-01-05,Petrol­eum Exploration Limited acquires energy assets from Kuwaiti firm,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1883216/petroleum-exploration-limited-acquires-energy-assets-from-kuwaiti-firm
2025-01-05,"With advent of new year, PSX resumes record-setting spree",Stock Market (Direct),Neutral,https://www.dawn.com/news/1883215/with-advent-of-new-year-psx-resumes-record-setting-spree
2025-01-06,Untangling the gas sector,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1883434
2025-01-06,Plugging the  ADR loop-hole,Banking Sector,Positive,https://www.dawn.com/news/1883427/plugging-the-adr-loop-hole
2025-01-06,IMF wants strict levy on captive power plants,IMF / External Financing,Neutral,https://www.dawn.com/news/1883368/imf-wants-strict-levy-on-captive-power-plants
2025-01-06,Pakistan’s internal issues paired with external challenges merit charter of economy,Inflation / CPI; Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1883344
2025-01-07,Banks advance  record Rs1.9tr to private sector,Monetary Policy / Interest Rates,Neutral,https://www.dawn.com/news/1883589/banks-advance-record-rs19tr-to-private-sector
2025-01-07,Bears at PSX lose steam midway as shares make marginal losses,Stock Market (Direct),Negative,https://www.dawn.com/news/1883659/bears-at-psx-lose-steam-midway-as-shares-make-marginal-losses
2025-01-07,"Blocked US Steel deal could hit investments, warns Japanese PM",Foreign Investment / FPI,Negative,https://www.dawn.com/news/1883587/blocked-us-steel-deal-could-hit-investments-warns-japanese-pm
2025-01-07,Higher petroleum imports widen trade gap with Middle East,Current Account / Trade,Neutral,https://www.dawn.com/news/1883586/higher-petroleum-imports-widen-trade-gap-with-middle-east
