Date,Close,Open,High,Low,Volume,Change
2014-09-01,28493.74,28524.07,28577.02,28181.69,89780000.0,-0.26
2014-09-02,29260.29,28620.56,29284.64,28620.56,131870000.0,2.69
2014-09-03,29595.55,29408.68,29651.64,29349.78,136300000.0,1.15
2014-09-04,29604.3,29600.98,29774.28,29524.2,128680000.0,0.03
2014-09-05,29513.78,29605.23,29659.35,29467.97,95110000.0,-0.31
2014-09-08,29585.6,29530.13,29728.41,29530.13,49060000.0,0.24
2014-09-09,29728.91,29621.6,29868.19,29621.6,71480000.0,0.48
2014-09-10,29691.31,29730.8,29816.2,29665.9,56340000.0,-0.13
2014-09-11,29858.37,29702.24,29905.83,29682.91,86820000.0,0.56
2014-09-12,30044.89,29891.37,30147.05,29889.4,104320000.0,0.62
2014-09-15,30070.13,30044.87,30095.19,29890.36,68540000.0,0.08
2014-09-16,30180.3,30101.55,30276.05,30027.13,146820000.0,0.37
2014-09-17,30136.57,30184.6,30266.78,30048.7,108690000.0,-0.14
2014-09-18,30094.16,30148.86,30191.74,30047.01,131490000.00000001,-0.14
2014-09-19,30015.8,30104.66,30184.79,29974.22,70310000.0,-0.26
2014-09-22,29993.87,30047.29,30110.7,29982.73,41210000.0,-0.07
2014-09-23,30143.77,29974.29,30200.14,29955.6,82470000.0,0.5
2014-09-24,30095.8,30144.91,30340.74,30082.57,103680000.0,-0.16
2014-09-25,29940.27,30095.47,30167.13,29849.37,71900000.0,-0.52
2014-09-26,29705.65,29973.56,30039.06,29666.91,86490000.0,-0.78
2014-09-29,29383.13,29693.43,29693.43,29336.35,47070000.0,-1.09
2014-09-30,29726.39,29389.99,29745.11,29376.31,60390000.0,1.17
2014-10-01,29996.61,29727.8,30001.3,29727.8,72100000.0,0.91
2014-10-02,30071.58,30150.93,30150.93,30038.64,107310000.0,0.25
2014-10-03,30103.23,30085.99,30179.3,30041.6,56760000.0,0.11
2014-10-09,29978.94,30115.13,30123.03,29964.2,52510000.0,-0.41
2014-10-10,30158.63,29985.0,30191.15,29955.09,107520000.0,0.6
2014-10-13,30394.41,30220.59,30444.35,30218.9,123550000.0,0.78
2014-10-14,30355.22,30396.97,30518.32,30338.63,118620000.0,-0.13
2014-10-15,30120.99,30392.13,30403.51,30044.21,103410000.0,-0.77
2014-10-16,29982.45,30124.28,30195.61,29943.67,80320000.0,-0.46
2014-10-17,29883.1,29992.15,30162.64,29839.36,84660000.0,-0.33
2014-10-20,29711.12,29922.38,29925.18,29672.97,59830000.0,-0.58
2014-10-21,29694.27,29751.27,29928.11,29640.34,71040000.0,-0.06
2014-10-22,29940.39,29802.81,30025.82,29802.81,110960000.0,0.83
2014-10-23,30025.13,29956.33,30049.22,29938.26,108460000.0,0.28
2014-10-24,30098.49,30048.9,30242.17,30048.9,113370000.0,0.24
2014-10-27,30238.96,30131.49,30253.85,30113.32,90050000.0,0.47
2014-10-28,30225.62,30273.44,30367.69,30198.17,101470000.0,-0.04
2014-10-29,30113.24,30288.21,30349.45,30083.6,169320000.0,-0.37
2014-10-30,30204.09,30139.06,30259.75,30103.91,81190000.0,0.3
2014-10-31,30376.53,30271.69,30384.21,30205.9,74530000.0,0.57
2014-11-05,30593.31,30398.05,30704.95,30398.05,133850000.0,0.71
2014-11-06,30663.78,30626.75,30821.29,30614.4,211620000.0,0.23
2014-11-07,30930.04,30693.7,30999.71,30672.31,158280000.0,0.87
2014-11-10,31281.83,30954.56,31395.01,30954.56,195450000.0,1.14
2014-11-11,31303.63,31286.73,31372.16,31233.37,130940000.0,0.07
2014-11-12,31629.2,31327.83,31746.54,31327.83,201460000.0,1.04
2014-11-13,31441.82,31648.96,31855.83,31391.65,160840000.0,-0.59
2014-11-14,31344.07,31448.13,31494.96,31293.97,147140000.0,-0.31
2014-11-17,31702.79,31381.04,31765.91,31381.04,172780000.0,1.14
2014-11-18,32006.4,31765.02,32021.99,31661.88,212120000.0,0.96
2014-11-19,31756.29,32072.32,32224.79,31697.78,187620000.0,-0.78
2014-11-20,31239.04,31760.8,31760.8,31026.52,180060000.0,-1.63
2014-11-21,31494.84,31257.68,31545.27,31257.68,89550000.0,0.82
2014-11-24,31316.96,31498.35,31615.59,31303.1,115760000.0,-0.56
2014-11-25,31223.74,31314.97,31314.97,30943.32,103080000.0,-0.3
2014-11-26,31454.47,31241.66,31534.9,31181.65,145710000.0,0.74
2014-11-27,31270.1,31480.18,31545.14,31227.07,117330000.0,-0.59
2014-11-28,31197.98,31270.81,31282.59,31075.48,166380000.0,-0.23
2014-12-01,31299.72,31188.24,31441.22,31139.4,238690000.0,0.33
2014-12-02,31680.72,31425.11,31721.83,31425.11,201900000.0,1.22
2014-12-03,31872.73,31709.37,31932.06,31709.37,257480000.00000003,0.61
2014-12-04,32090.93,31910.63,32236.52,31910.63,270540000.0,0.68
2014-12-05,32148.78,32100.45,32315.56,32086.01,194560000.0,0.18
2014-12-08,32010.33,32152.96,32206.12,31979.63,120380000.0,-0.43
2014-12-09,32084.16,32010.76,32098.6,31815.83,209730000.0,0.23
2014-12-10,31781.65,32108.98,32186.06,31760.72,173170000.0,-0.94
2014-12-11,31779.75,31841.93,32076.33,31755.28,156840000.0,-0.01
2014-12-12,31589.82,31748.2,31748.2,31543.29,133560000.0,-0.6
2014-12-15,31690.1,31586.63,31720.94,31509.78,144750000.0,0.32
2014-12-16,30876.28,31688.27,31716.79,30808.39,186130000.0,-2.57
2014-12-17,30667.14,30894.29,31141.13,30562.27,143460000.0,-0.68
2014-12-18,30827.45,30708.38,31152.94,30708.38,126780000.0,0.52
2014-12-19,31011.15,30859.11,31034.79,30756.22,90680000.0,0.6
2014-12-22,31491.62,31080.5,31597.63,31080.5,131699999.99999999,1.55
2014-12-23,31750.38,31531.04,31770.09,31490.67,169850000.0,0.82
2014-12-24,32000.01,31807.63,32019.45,31807.63,200250000.0,0.79
2014-12-26,31993.01,32068.63,32141.74,31933.3,151930000.0,-0.02
2014-12-29,31906.74,31999.89,32075.63,31888.78,142480000.0,-0.27
2014-12-30,31953.9,31921.52,31988.96,31765.31,146940000.0,0.15
2014-12-31,32131.28,31971.05,32192.77,31971.05,145790000.0,0.56
2015-01-01,32503.8,32148.65,32503.81,32134.82,157340000.0,1.16
2015-01-02,32731.61,32531.8,32776.39,32465.49,235200000.0,0.7
2015-01-05,32757.79,32751.46,32866.4,32664.15,248960000.0,0.08
2015-01-06,32668.73,32713.51,32834.43,32558.7,173640000.0,-0.27
2015-01-07,32835.94,32685.41,32906.17,32639.84,175310000.0,0.51
2015-01-08,33117.47,32887.82,33142.93,32887.82,188420000.0,0.86
2015-01-09,33324.82,33163.45,33473.55,33163.45,230180000.0,0.63
2015-01-12,33418.2,33341.54,33513.92,33339.28,150020000.0,0.28
2015-01-13,33371.29,33423.82,33423.82,33167.95,138600000.0,-0.14
2015-01-14,33585.75,33403.95,33628.22,33403.95,217290000.0,0.64
2015-01-15,33765.61,33688.29,33941.51,33688.29,220160000.0,0.54
2015-01-16,33786.44,33771.5,33954.88,33724.65,215170000.0,0.06
2015-01-19,34014.26,33790.56,34120.92,33790.56,174970000.0,0.67
2015-01-20,34121.3,34046.63,34185.48,33893.17,194950000.0,0.31
2015-01-21,34329.5,34133.62,34395.19,34133.62,241030000.0,0.61
2015-01-22,34146.97,34342.29,34414.81,34101.44,212300000.0,-0.53
2015-01-23,34026.59,34149.1,34194.93,33978.3,138100000.0,-0.35
2015-01-26,34466.53,34058.45,34589.28,34058.45,249090000.0,1.29
2015-01-27,34538.45,34530.36,34626.87,34383.74,255710000.0,0.21
2015-01-28,34386.86,34535.31,34621.54,34353.78,162990000.0,-0.44
2015-01-29,34408.73,34398.41,34502.19,34368.25,147270000.0,0.06
2015-01-30,34443.87,34446.56,34620.53,34348.47,274970000.0,0.1
2015-02-02,34676.31,34476.0,34733.27,34476.0,234970000.0,0.67
2015-02-03,34826.51,34709.75,34844.8,34633.88,201110000.0,0.43
2015-02-04,34672.25,34940.58,35055.94,34595.3,230120000.0,-0.44
2015-02-06,34656.94,34718.11,34844.2,34619.57,165610000.0,-0.04
2015-02-09,34570.3,34697.71,34787.29,34556.08,182410000.0,-0.25
2015-02-10,34432.89,34621.3,34731.94,34181.02,151280000.0,-0.4
2015-02-11,34203.99,34435.51,34564.56,34160.47,160030000.0,-0.66
2015-02-12,33786.42,34191.23,34237.14,33493.52,212570000.0,-1.22
2015-02-13,33943.2,33825.45,34123.78,33784.58,159540000.0,0.46
2015-02-16,33796.44,33943.2,34031.8,33633.32,102810000.0,-0.43
2015-02-17,33801.1,33827.23,34036.31,33721.84,146900000.0,0.01
2015-02-18,33718.86,33815.9,33912.83,33589.41,114620000.0,-0.24
2015-02-19,33942.27,33749.34,33988.16,33641.99,137160000.0,0.66
2015-02-20,33993.0,34028.78,34143.75,33912.96,161980000.0,0.15
2015-02-23,33926.7,34020.1,34063.24,33899.26,93590000.0,-0.2
2015-02-24,33895.46,33927.61,34024.05,33870.01,96960000.0,-0.09
2015-02-25,33845.3,33900.65,34017.97,33825.2,84110000.0,-0.15
2015-02-26,33762.8,33845.05,33996.73,33701.79,105340000.0,-0.24
2015-02-27,33632.19,33802.83,33893.82,33580.07,137800000.0,-0.39
2015-03-02,33213.58,33680.27,33717.15,33125.03,104300000.0,-1.24
2015-03-03,33188.77,33213.58,33292.9,32811.75,143950000.0,-0.07
2015-03-04,33242.94,33271.44,33464.7,33161.69,128710000.00000001,0.16
2015-03-05,33368.83,33256.55,33406.29,33246.12,124470000.0,0.38
2015-03-06,33263.66,33382.69,33474.06,33239.43,87830000.0,-0.32
2015-03-09,32860.57,33273.62,33305.26,32832.55,71200000.0,-1.21
2015-03-10,32566.59,32899.31,32899.31,32531.13,88050000.0,-0.89
2015-03-11,32539.61,32437.92,32604.1,32198.87,111610000.0,-0.08
2015-03-12,32582.68,32545.02,32715.79,32443.72,102310000.0,0.13
2015-03-13,32929.09,32622.08,32960.35,32622.08,110290000.0,1.06
2015-03-16,32454.91,32931.51,32961.84,32396.41,79450000.0,-1.44
2015-03-17,32342.26,32471.39,32519.82,32104.5,88180000.0,-0.35
2015-03-18,31524.98,32349.63,32416.99,31338.29,140750000.0,-2.53
2015-03-19,31451.62,31514.89,31607.79,31395.07,66599999.99999999,-0.23
2015-03-20,31800.26,31478.67,31925.05,31478.67,101280000.0,1.11
2015-03-24,31310.73,31944.02,32070.98,31259.41,90440000.0,-1.54
2015-03-25,31086.51,31330.82,31405.77,31044.08,67380000.0,-0.72
2015-03-26,30678.97,31187.39,31358.58,30172.93,193250000.0,-1.31
2015-03-27,29957.83,30734.05,30828.2,29847.26,150930000.0,-2.35
2015-03-30,28927.04,29879.63,29879.63,28648.23,207040000.0,-3.44
2015-03-31,30233.87,28921.76,30246.77,28921.76,190790000.0,4.52
2015-04-01,30605.05,30269.74,30951.34,30025.84,202660000.0,1.23
2015-04-02,31132.25,30680.29,31169.72,30680.29,147100000.0,1.72
2015-04-03,31413.96,31153.56,31460.55,31115.49,195710000.0,0.9
2015-04-06,31752.17,31442.78,31787.94,31341.88,183050000.0,1.08
2015-04-07,31600.73,31758.79,31848.34,31516.99,199600000.0,-0.48
2015-04-08,31887.3,31676.27,32073.93,31676.27,199750000.0,0.91
2015-04-09,32013.91,31902.46,32043.6,31710.15,159480000.0,0.4
2015-04-10,32350.93,32032.02,32544.43,32032.02,211990000.0,1.05
2015-04-13,32248.45,32354.27,32396.32,32180.47,215930000.0,-0.32
2015-04-14,32109.87,32253.09,32286.65,32050.44,180210000.0,-0.43
2015-04-15,32248.86,32257.04,32430.5,32117.63,163780000.0,0.43
2015-04-16,32736.43,32264.6,32760.56,32264.6,272200000.0,1.51
2015-04-17,33234.73,32762.35,33326.61,32707.34,302680000.0,1.52
2015-04-20,33304.64,33264.54,33649.52,33229.93,284270000.0,0.21
2015-04-21,33035.77,33299.7,33365.32,32826.45,196170000.0,-0.81
2015-04-22,33490.64,33070.13,33615.19,33061.24,229560000.0,1.38
2015-04-23,33456.74,33529.26,33711.84,33399.02,226470000.0,-0.1
2015-04-24,33775.12,33459.01,33803.88,33459.01,165280000.0,0.95
2015-04-27,33844.29,33814.6,33970.73,33804.46,174920000.0,0.2
