date,news,what_it_affects,source,raw_text
2015-01-01,"'No oath, no membership': ECP withdraws notification for Senate by-poll on seat won by PTI's Murad Saeed",Political Stability / Government,https://www.dawn.com/news/2025774/no-oath-no-membership-ecp-withdraws-notification-for-senate-by-poll-on-seat-won-by-ptis-murad-saeed,"'No oath, no membership': ECP withdraws notification for Senate by-poll on seat won by PTI's Murad Saeed"
2015-01-01,2014: a year of growth for the Pakistani capital market,Stock Market (Direct); Foreign Investment / FPI,https://www.dawn.com/news/1154454/2014-a-year-of-growth-for-the-pakistani-capital-market,"Business 2014: a year of growth for the Pakistani capital market Pakistan ranked third among the world's top ten best performing stock markets and first in MSCI Asian Frontier Markets. Updated 01 Jan, 2015 10:24pm"
2015-01-01,Imran Khan’s sister Noreen Niazi meets him in Adiala jail for second consecutive week,Political Stability / Government,https://www.dawn.com/news/2025232/imran-khans-sister-noreen-niazi-meets-him-in-adiala-jail-for-second-consecutive-week,Imran Khan’s sister Noreen Niazi meets him in Adiala jail for second consecutive week
2015-01-01,Oil price hits fresh five-year low,Oil & Gas / Energy Sector,https://www.dawn.com/news/1154306/oil-price-hits-fresh-five-year-low,"Business Oil price hits fresh five-year low Benchmark oil contract Brent North Sea crude slid to its lowest level since mid-2009. Updated 01 Jan, 2015 09:09am"
2015-01-01,PSO skips January fuel oil imports,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1154311/pso-skips-january-fuel-oil-imports,"Business PSO skips January fuel oil imports Pakistan State Oil PSO is skipping January imports of high sulphur fuel oil for the first time. Updated 01 Jan, 2015 09:11am"
2015-01-01,SBP mulls ending Rs10 note on rising costs,Monetary Policy / Interest Rates,https://www.dawn.com/news/2025322/sbp-mulls-ending-rs10-note-on-rising-costs,SBP mulls ending Rs10 note on rising costs
2015-01-02,Inflation rose to 4.3pc in December,Inflation / CPI,https://www.dawn.com/news/1154510/inflation-rose-to-43pc-in-december,"Business Inflation rose to 4.3pc in December It indicates that substantial cut in local oil rates has not impacted prices of other essential commodities. Updated 02 Jan, 2015 11:03am"
2015-01-02,Saudi Arabia should move to check oil price fall: Iran,Oil & Gas / Energy Sector,https://www.dawn.com/news/1154509/saudi-arabia-should-move-to-check-oil-price-fall-iran,"Business Saudi Arabia should move to check oil price fall: Iran Saudi Arabia said last month that it would not cut output to prop up oil markets even if non-Opec nations did so. Updated 02 Jan, 2015 11:02am"
2015-01-02,Sindh ST collection up 33pc in Dec,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1154500/sindh-st-collection-up-33pc-in-dec,"Business Sindh ST collection up 33pc in Dec Sindh collected Rs4 billion as sales tax in December, a rise of 33.4 per cent compared to the same month of 2013. Updated 02 Jan, 2015 10:40am"
2015-01-03,Pakistan resumes wheat exports,Current Account / Trade,https://www.dawn.com/news/1154754/pakistan-resumes-wheat-exports,"Business Pakistan resumes wheat exports Pakistani importers made a large wheat purchases in 2014 following a disappointing harvest that pushed up local prices. Updated 03 Jan, 2015 01:11pm"
2015-01-04,Marble export plunges,Current Account / Trade,https://www.dawn.com/news/1154874/marble-export-plunges,"Business Marble export plunges Marble expo­rts during the first half (July-Dec) of this fiscal year plu­ng­ed by 24.73 per cent to $28 million. Updated 05 Jan, 2015 01:43pm"
2015-01-04,Who will rescue the sinking crude market?,Oil & Gas / Energy Sector,https://www.dawn.com/news/1154873/who-will-rescue-the-sinking-crude-market,"Business Who will rescue the sinking crude market? As sun was setting on 2014, oil markets plunged sinking below $53, a level last seen during the great recession. Updated 05 Jan, 2015 01:19pm"
