Date,News,What It Affects,Sentiment,Source
2015-01-01,"'No oath, no membership': ECP withdraws notification for Senate by-poll on seat won by PTI's Murad Saeed",Political Stability / Government,No Signal,https://www.dawn.com/news/2025774/no-oath-no-membership-ecp-withdraws-notification-for-senate-by-poll-on-seat-won-by-ptis-murad-saeed
2015-01-01,2014: a year of growth for the Pakistani capital market,Stock Market (Direct); Foreign Investment / FPI,No Signal,https://www.dawn.com/news/1154454/2014-a-year-of-growth-for-the-pakistani-capital-market
2015-01-01,Imran Khan’s sister Noreen Niazi meets him in Adiala jail for second consecutive week,Political Stability / Government,No Signal,https://www.dawn.com/news/2025232/imran-khans-sister-noreen-niazi-meets-him-in-adiala-jail-for-second-consecutive-week
2015-01-01,Oil price hits fresh five-year low,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1154306/oil-price-hits-fresh-five-year-low
2015-01-01,PSO skips January fuel oil imports,Current Account / Trade; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1154311/pso-skips-january-fuel-oil-imports
2015-01-01,SBP mulls ending Rs10 note on rising costs,Monetary Policy / Interest Rates,No Signal,https://www.dawn.com/news/2025322/sbp-mulls-ending-rs10-note-on-rising-costs
2015-01-02,Inflation rose to 4.3pc in December,Inflation / CPI,Negative,https://www.dawn.com/news/1154510/inflation-rose-to-43pc-in-december
2015-01-02,Saudi Arabia should move to check oil price fall: Iran,Oil & Gas / Energy Sector,Positive,https://www.dawn.com/news/1154509/saudi-arabia-should-move-to-check-oil-price-fall-iran
2015-01-02,Sindh ST collection up 33pc in Dec,Fiscal Policy / Budget / Taxes,Positive,https://www.dawn.com/news/1154500/sindh-st-collection-up-33pc-in-dec
2015-01-03,Pakistan resumes wheat exports,Current Account / Trade,Positive,https://www.dawn.com/news/1154754/pakistan-resumes-wheat-exports
2015-01-04,Marble export plunges,Current Account / Trade,Negative,https://www.dawn.com/news/1154874/marble-export-plunges
2015-01-04,Who will rescue the sinking crude market?,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1154873/who-will-rescue-the-sinking-crude-market
2015-01-05,Oil extends crash into new year as glut fear deepens,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1155086/oil-extends-crash-into-new-year-as-glut-fear-deepens
2015-01-06,"Low revenue, IMF dictations stifle development spending",IMF / External Financing,No Signal,https://www.dawn.com/news/1155223/low-revenue-imf-dictations-stifle-development-spending
2015-01-06,Pakistan 4th biggest user of Bt cotton seeds,Textile Sector,No Signal,https://www.dawn.com/news/1155219/pakistan-4th-biggest-user-of-bt-cotton-seeds
2015-01-06,Rupee stable against dollar,Currency / Exchange Rate,No Signal,https://www.dawn.com/news/1155264/rupee-stable-against-dollar
2015-01-06,SBP mechanism for sugar export,Monetary Policy / Interest Rates; Current Account / Trade,No Signal,https://www.dawn.com/news/1155222/sbp-mechanism-for-sugar-export
2015-01-06,Stocks add 26 points on institutional support,Stock Market (Direct),Positive,https://www.dawn.com/news/1155217/stocks-add-26-points-on-institutional-support
2015-01-07,5 items identified for export to Russia,Current Account / Trade,No Signal,https://www.dawn.com/news/1155375/5-items-identified-for-export-to-russia
2015-01-07,Nepra approves reduction in K-Electric tariff,Fiscal Policy / Budget / Taxes,Positive,https://www.dawn.com/news/1155441/nepra-approves-reduction-in-k-electric-tariff
2015-01-08,"Pakistani stocks breach 33,000 mark",Stock Market (Direct); Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1155709/pakistani-stocks-breach-33000-mark
2015-01-09,"Pakistan, China to soften bank opening rules",Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1155810/pakistan-china-to-soften-bank-opening-rules
2015-01-09,Pakistani-backed fertiliser plant in Indiana not seeking state incentives,Fertilizer Sector,No Signal,https://www.dawn.com/news/1155894/pakistani-backed-fertiliser-plant-in-indiana-not-seeking-state-incentives
2015-01-10,"Consumers paying Rs3-4 extra on petrol, diesel",Fiscal Policy / Budget / Taxes; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1156053/consumers-paying-rs3-4-extra-on-petrol-diesel
2015-01-11,Pakistan and the IMF: The ties that bind,IMF / External Financing,No Signal,https://www.dawn.com/news/1155958/pakistan-and-the-imf-the-ties-that-bind
2015-01-11,Sindh prepares to export wheat amid price worries,Current Account / Trade,No Signal,https://www.dawn.com/news/1156266/sindh-prepares-to-export-wheat-amid-price-worries
2015-01-12,An export economy that fails to import jobs,Current Account / Trade,Negative,https://www.dawn.com/news/1156336/an-export-economy-that-fails-to-import-jobs
2015-01-12,Burj-NBP deal on the cards?,Banking Sector,No Signal,https://www.dawn.com/news/1156356/burj-nbp-deal-on-the-cards
2015-01-12,Farmers oppose duty-free imports from India,Fiscal Policy / Budget / Taxes; Current Account / Trade,No Signal,https://www.dawn.com/news/1156350/farmers-oppose-duty-free-imports-from-india
2015-01-12,Rupee mixed against dollar,Currency / Exchange Rate,No Signal,https://www.dawn.com/news/1156359/rupee-mixed-against-dollar
2015-01-12,Sindh fails to sell wheat stock and set sowing targets,Current Account / Trade,Negative,https://www.dawn.com/news/1156349/sindh-fails-to-sell-wheat-stock-and-set-sowing-targets
2015-01-13,Bull run continues on KSE,Stock Market (Direct),Positive,https://www.dawn.com/news/1156623/bull-run-continues-on-kse
2015-01-13,Oil prices plunge to near six-year low,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1156771/oil-prices-plunge-to-near-six-year-low
