date,title,url,raw_text
2020-01-01,‘New-year euphoria’ pushes stocks in the green as KSE-100 closes 664 points up,https://www.dawn.com/news/1525639/new-year-euphoria-pushes-stocks-in-the-green-as-kse-100-closes-664-points-up,"Stocks began the new year in the green, with the benchmark KSE-100 index closing at 41,400 points – up 664 points – registering a 1.64 per cent increase from the opening bell."
2020-01-01,2020 will be a test of the government’s decisiveness regarding the economy,https://www.dawn.com/news/1525620/economy-talking-the-big-talk,"IT was a careening year for the economy. At the start of 2019 there was mounting anticipation around the future direction the government was going to adopt as the foreign exchange reserves continued to slide, borrowing from “friendly countries” was in full swing, the IMF negotiations were not moving forward and an announcement of a “mini budget” had been made for later in the month. Confusion prevailed as the market looked for hopeful signs of forceful steps to be taken to control a runaway fiscal deficit that was being plugged with borrowings from the State Bank of Pakistan since banks were also refusing to lend to government despite massive interest rate hikes."
2020-01-01,Uber sues California over gig economy labour law,https://www.dawn.com/news/1525577/uber-sues-california-over-gig-economy-labour-law,"SAN FRANCISCO: Ride-hailing giant Uber and delivery company Postm­ates have filed a lawsuit against the state of California, claiming a new law that would treat gig economy freelancers as emp­loyees is unconstitutional."
2020-01-01,Rupee suffers hard against all major currencies,https://www.dawn.com/news/1525578/rupee-suffers-hard-against-all-major-currencies,KARACHI: Almost all of the international currencies gained against the rupee in 2019 but the biggest appreciation was seen in the British pound which gained over 15 per cent.
2020-01-01,2019: a good year for gold,https://www.dawn.com/news/1525580/2019-a-good-year-for-gold,"KARACHI: One tola and 10 gram gold price in Pakistan soared by Rs20,600 and Rs17,662, respectively, during 2019 owing to a $239 per ounce rise in world gold price."
2020-01-01,Six-month revenue collection shortfall rises to Rs287bn,https://www.dawn.com/news/1525583/six-month-revenue-collection-shortfall-rises-to-rs287bn,ISLAMABAD: The Federal Board of Revenue (FBR) missed revised revenue collection target for the first half year of current fiscal year by a wide margin of Rs287 billion against the target of Rs2.367 trillion despite several measures and double-digit consumer inflation.
2020-01-01,Stocks lose 152 points in directionless trade,https://www.dawn.com/news/1525573/stocks-lose-152-points-in-directionless-trade,"KARACHI: The stock market remained directionless on the last day of the year 2019 with the KSE-100 index closing down by 152.55 points (0.37 per cent) at 40,735.08 after trading in a narrow band between the intraday high and low of 110 and 119 points."
2020-01-01,PSX returns to positive territory,https://www.dawn.com/news/1525574/psx-returns-to-positive-territory,"KARACHI: Pakistani stocks managed to eke out a positive return of 10pc in 2019, after investors were faced with negative returns for two consecutive previous years: (minus 8pc in 2018 and minus 15pc for 2017)."
2020-01-01,PHC stops FBR from acting against textile mills,https://www.dawn.com/news/1525544/phc-stops-fbr-from-acting-against-textile-mills,"PESHAWAR: A single-member Peshawar High Court bench has stopped the Federal Board of Revenue from acting against three textile mills, which have challenged the retrospective application of reduction in tax credit from 10 percent to five percent for industrial units, which had made investment for modernisation and expansion."
2020-01-01,"Price of petrol raised by Rs2.61 per litre, kerosene by Rs3.10",https://www.dawn.com/news/1525546/price-of-petrol-raised-by-rs261-per-litre-kerosene-by-rs310,"ISLAMABAD: The government on Tuesday increased fuel prices for January, raising the petrol price to Rs116.60 per litre with the increase of Rs2.61, while app­roving the recommendations made by the Oil and Gas Regulatory Authority (Ogra)."
